case_id,source_type,duration_target,quality_target,codec_target,channel_group,source_url
case-001,short,short,any,H.264 preferred,A,
case-002,short,short,any,VP9 preferred,B,
case-003,short,short,any,AV1 preferred,C,
case-004,short,short,any,mixed,D,
case-005,short,short,any,mixed,E,
case-006,short-video,under 5 minutes,1080p,H.264 preferred,F,
case-007,short-video,under 5 minutes,1080p,VP9 preferred,G,
case-008,short-video,under 5 minutes,1440p,VP9 or AV1,H,
case-009,short-video,under 5 minutes,4K,AV1 preferred,I,
case-010,short-video,under 5 minutes,any,mixed,J,
case-011,standard,5 to 20 minutes,1080p,H.264 preferred,K,
case-012,standard,5 to 20 minutes,1080p,VP9 preferred,L,
case-013,standard,5 to 20 minutes,1440p,VP9 or AV1,A,
case-014,standard,5 to 20 minutes,4K,AV1 preferred,B,
case-015,standard,5 to 20 minutes,any,mixed,C,
case-016,long,over 45 minutes,1080p,H.264 preferred,D,
case-017,long,over 45 minutes,1440p,VP9 preferred,E,
case-018,long,over 45 minutes,4K,AV1 preferred,F,
case-019,long,over 45 minutes,any,mixed,G,
case-020,music,under 10 minutes,1080p,H.264 preferred,H,
case-021,music,under 10 minutes,1440p,VP9 preferred,I,
case-022,music,under 10 minutes,4K,AV1 preferred,J,
case-023,high-resolution,5 to 20 minutes,1440p,VP9 or AV1,K,
case-024,high-resolution,5 to 20 minutes,4K,AV1 preferred,L,
